Ticker,Company,Sector,Industry
AAMI,Acadian Asset Management Inc.,Financials,Asset Management & Custody Banks
AAP,"Advance Auto Parts, Inc.",Consumer Discretionary,Automotive Retail
AAT,American Assets Trust,Real Estate,Diversified REITs
ABCB,Ameris Bancorp,Financials,Regional Banks
ABG,Asbury Automotive Group,Consumer Discretionary,Automotive Retail
ABM,"ABM Industries, Inc.",Industrials,Environmental & Facilities Services
ABR,Arbor Realty Trust,Financials,Mortgage REITs
ACA,"Arcosa, Inc.",Industrials,Construction & Engineering
ACAD,Acadia Pharmaceuticals,Health Care,Pharmaceuticals
ACHC,Acadia Healthcare,Health Care,Health Care Facilities
ACIW,ACI Worldwide,Information Technology,Application Software
ACLS,"Axcelis Technologies, Inc.",Information Technology,Semiconductor Materials & Equipment
ACMR,"ACM Research, Inc.",Information Technology,Semiconductor Materials & Equipment
ACT,"Enact Holdings, Inc.",Financials,Commercial & Residential Mortgage Finance
ADAM,"Adamas Trust, Inc.",Real Estate,Mortgage REITs
ADEA,"Adeia, Inc.",Information Technology,IT Consulting & Other Services
ADMA,"ADMA Biologics, Inc.",Health Care,Biotechnology
ADNT,Adient,Consumer Discretionary,Automotive Parts & Equipment
ADT,ADT Inc.,Consumer Discretionary,Specialized Consumer Services
ADUS,Addus HomeCare Corp.,Health Care,Health Care Services
AEO,American Eagle Outfitters,Consumer Discretionary,Apparel Retail
AESI,"Atlas Energy Solutions, Inc.",Energy,Oil & Gas Equipment & Services
AGO,Assured Guaranty Ltd.,Financials,Property & Casualty Insurance
AGX,"Argan, Inc.",Industrials,Construction & Engineering
AGYS,"Agilysys, Inc.",Information Technology,Application Software
AHCO,AdaptHealth Corp.,Health Care,Health Care Equipment
AIN,Albany International Corp.,Industrials,Industrial Machinery & Supplies & Components
AIR,AAR CORP.,Industrials,Aerospace & Defense
AKR,Acadia Realty Trust,Real Estate,Retail REITs
ALG,Alamo Group,Industrials,Construction Machinery & Heavy Transportation Equipment
ALGT,Allegiant Travel Company,Industrials,Passenger Airlines
ALKS,Alkermes plc,Health Care,Pharmaceuticals
ALRM,"Alarm.Com, Inc.",Financials,Application Software
AMN,"Amn Healthcare Services, Inc.",Health Care,Health Care Services
AMPH,"Amphstar Pharmaceuticals, Inc.",Health Care,Pharmaceuticals
AMR,"Alpha Metallurgical Resources, Inc.",Materials,Steel
AMRX,Amneal Pharmaceuticals,Health Care,Pharmaceuticals
AMSF,"Amerisafe, Inc.",Financials,Property & Casualty Insurance
AMTM,Amentum,Industrials,Diversified Support Services
AMWD,American Woodmark Corp.,Industrials,Building Products
ANDE,"The Andersons, Inc.",Consumer Staples,Food Distributors
ANIP,"ANI Pharmaceuticals, Inc.",Health Care,Pharmaceuticals
AORT,Artivion,Health Care,Health Care Equipment
AOSL,"Alpha and Omega Semiconductor, Ltd.",Information Technology,Semiconductors
APAM,"Artisan Partners Asset Management, Inc.",Financials,Asset Management & Custody Banks
APLE,"Apple Hospitality REIT, Inc.",Real Estate,Hotel & Resort REITs
APLS,"Apellis Pharmaceuticals, Inc.",Health Care,Pharmaceuticals
APOG,"Apogee Enterprises, Inc.",Industrials,Building Products
ARCB,ArcBest Corp.,Industrials,Cargo Ground Transportation
ARI,Apollo Commercial Real Estate Finance,Real Estate,Mortgage REITs
ARLO,Arlo Technologies,Information Technology,Communications Equipment
AROC,"Archrock, Inc.",Energy,Oil & Gas Equipment & Services
ARR,Armour Residential REIT,Real Estate,Mortgage REITs
ASGN,ASGN Inc.,Information Technology,IT Consulting & Other Services
ASO,Academy Sports + Outdoors,Consumer Discretionary,Specialty Stores
ASTE,"Astec Industries, Inc.",Industrials,Construction Machinery & Heavy Transportation Equipment
ASTH,"Astrana Health, Inc.",Health Care,Health Care Facilities
ATEN,"A10 Networks, Inc.",Information Technology,Systems Software
ATMU,Atmus Filtration Technologies Inc.,Industrials,Industrial Machinery & Supplies & Components
AUB,"Atlantic Union Bankshares, Corp.",Financials,Regional Banks
AVA,Avista Corporation,Utilities,Multi-Utilities
AVNS,"Avanos Medical, Inc.",Health Care,Health Care Supplies
AWI,"Armstrong World Industries, Inc.",Industrials,Building Products
AWR,American States Water Company,Utilities,Water Utilities
AX,"Axos Financial, Inc.",Financials,Regional Banks
AZTA,"Azenta, Inc.",Health Care,Life Sciences Tools & Services
AZZ,"AZZ, Inc.",Industrials,Heavy Electrical Equipment
BANC,"Banc Of California, Inc.",Financials,Regional Banks
BANF,Bancfirst Corp,Financials,Regional Banks
BANR,Banner Corporation,Financials,Regional Banks
BBT,Beacon Financial Corp.,Financials,Regional Banks
BCC,Boise Cascade,Industrials,Building Products
BCPC,Balchem Corporation,Materials,Specialty Chemicals
BFH,"Bread Financial Holdings, Inc.",Financials,Consumer Finance
BFS,"Saul Centers, Inc.",Real Estate,Retail REITs
BGC,"BGC Group, Inc.",Financials,Investment Banking & Brokerage
BHE,"Benchmark Electronics, Inc.",Information Technology,Electronic Manufacturing Services
BJRI,"BJ's Restaurants, Inc.",Consumer Discretionary,Restaurants
BKE,"The Buckle, Inc.",Consumer Discretionary,Apparel Retail
BKU,"BankUnited, Inc.",Financials,Regional Banks
BL,"BlackLine Systems, Inc.",Information Technology,Application Software
BLFS,"BioLife Solutions, Inc.",Health Care,Health Care Supplies
BMI,"Badger Meter, Inc.",Information Technology,Electronic Equipment & Instruments
BNL,"Broadstone Net Lease, Inc.",Real Estate,Industrial REITs
BOH,Bank of Hawaii,Financials,Regional Banks
